date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2015-01-02 00:00:00+00:00,529.55,535.8,527.88,532.6,1327870,26.294915817,26.605260872,26.2119916183,26.4463642038,26557400,0.0,1.0
2015-01-05 00:00:00+00:00,519.46,527.9899,517.75,527.15,2059119,25.7938947603,26.2174487258,25.7089843532,26.1757433159,41182380,0.0,1.0
2015-01-06 00:00:00+00:00,506.64,521.21,505.55,520.5,2731813,25.1573149835,25.8807913757,25.1031908059,25.8455361774,54636260,0.0,1.0
2015-01-07 00:00:00+00:00,505.15,511.49,503.65,510.95,2345875,25.0833287224,25.3981427462,25.0088459092,25.3713289334,46917500,0.0,1.0
2015-01-08 00:00:00+00:00,506.91,507.5,495.02,501.51,3662224,25.1707218899,25.2000184631,24.5803214573,24.9025837624,73244480,0.0,1.0
2015-01-09 00:00:00+00:00,500.72,508.6,498.65,508.18,2065403,24.8633561475,25.2546391928,24.7605698653,25.2337840051,41308060,0.0,1.0
2015-01-12 00:00:00+00:00,497.06,500.28,490.91,499.24,2856938,24.6816180833,24.8415078556,24.3762385492,24.7898664384,57138760,0.0,1.0
2015-01-13 00:00:00+00:00,501.8,508.6,497.26,502.57,3050295,24.916983773,25.2546391928,24.691549125,24.9552182837,61005900,0.0,1.0
2015-01-14 00:00:00+00:00,505.93,508.26,498.16,500.42,2639959,25.1220597853,25.2377564218,24.7362388129,24.8484595848,52799180,0.0,1.0
2015-01-15 00:00:00+00:00,504.01,509.75,502.01,508.89,2556682,25.0267217844,25.3117426829,24.9274113668,25.2690392033,51133640,0.0,1.0
2015-01-16 00:00:00+00:00,510.455,510.85,503.09,503.15,2482858,25.3467496051,25.3663634125,24.9810389923,24.9840183048,49657160,0.0,1.0
2015-01-20 00:00:00+00:00,509.94,515.61,509.37,512.77,2343612,25.3211771725,25.6027222064,25.2928737035,25.4617014134,46872240,0.0,1.0
